candidate,R2_THRESHOLD,TARGET_VOL,VOL_WINDOW,SWITCH_BUFFER,MAX_LEV,segment,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,total_return,maxdd_start,maxdd_trough,trades,asset_switches,cash_days,holding_days,holding_day_ratio,avg_weight,max_weight,cost_total,qqq_days,gld_days,buffer_blocked_days
switch_1.70,0.3,0.25,20,1.7,1.5,last_5y,2021-05-11,2026-05-15,1260,0.40100482707732854,0.24614899835340284,1.4936670600928523,-0.20406939087643172,4.39756844394304,2021-05-11,2022-05-13,525,123,173,1087,0.8626984126984127,1.1688014580140054,1.5,0.0,564,523,43
switch_1.70,0.3,0.25,20,1.7,1.5,last_3y,2023-05-11,2026-05-15,756,0.5393427505287036,0.25377046564512323,1.8279132792974015,-0.19027154989128714,2.6475897969108324,2023-05-11,2026-03-30,290,70,95,661,0.8743386243386243,1.1858013722124552,1.5,0.0,370,291,18
switch_1.70,0.3,0.25,20,1.7,1.5,last_1y,2025-05-15,2026-05-15,252,0.915588979139889,0.26829382061344853,2.5628957319621724,-0.19027154989128714,0.915588979139889,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.0947638142793685,1.5,0.0,120,96,7
switch_1.80,0.3,0.25,20,1.8,1.5,full,2015-07-13,2026-05-15,2728,0.3426851693955255,0.22514890422004769,1.422093869286277,-0.20406939087643172,23.28686234452476,2015-07-13,2022-05-13,928,252,382,2346,0.8599706744868035,1.1930375593980433,1.5,0.0,1317,1029,111
switch_1.80,0.3,0.25,20,1.8,1.5,last_10y,2016-05-09,2026-05-15,2520,0.36028979153126395,0.22665164765107682,1.4717245553744387,-0.2040693908764316,20.69273887672723,2016-05-09,2022-05-13,884,232,343,2177,0.8638888888888889,1.194293726943634,1.5,0.0,1252,925,100
switch_1.80,0.3,0.25,20,1.8,1.5,last_5y,2021-05-11,2026-05-15,1260,0.4383632443579222,0.24495897017111018,1.6072965250517854,-0.20406939087643172,5.156627576768829,2021-05-11,2022-05-13,512,117,173,1087,0.8626984126984127,1.1701159100391023,1.5,0.0,561,526,50
switch_1.80,0.3,0.25,20,1.8,1.5,last_3y,2023-05-11,2026-05-15,756,0.5875980696142773,0.25247346952343225,1.958463669009148,-0.19027154989128692,3.0014895449340653,2023-05-11,2026-03-30,287,66,95,661,0.8743386243386243,1.1871527000894155,1.5,0.0,370,291,22
switch_1.80,0.3,0.25,20,1.8,1.5,last_1y,2025-05-15,2026-05-15,252,0.9155889791398892,0.26829382061344836,2.5628957319621666,-0.1902715498912868,0.9155889791398892,2025-05-15,2026-03-30,120,18,36,216,0.8571428571428571,1.0947638142793688,1.5,0.0,120,96,7
switch_1.90,0.3,0.25,20,1.9,1.5,full,2015-07-13,2026-05-15,2728,0.34493737259917556,0.22508536195787154,1.4298893728312316,-0.20406939087643183,23.731524661961426,2015-07-13,2022-05-13,928,252,382,2346,0.8599706744868035,1.1926008199526716,1.5,0.0,1315,1031,117
switch_1.90,0.3,0.25,20,1.9,1.5,last_10y,2016-05-09,2026-05-15,2520,0.3627600289258972,0.22658289150632546,1.4801225892838334,-0.20406939087643183,21.089906011931443,2016-05-09,2022-05-13,884,232,343,2177,0.8638888888888889,1.193820939163089,1.5,0.0,1250,927,106
