candidate,segment,r2_threshold,switch_buffer,start,end,rows,ann_return,ann_vol,sharpe_repo,max_dd,avg_weight,held_day_avg_weight,holding_days,holding_day_ratio,avg_turnover,turnover_total,cost_total,trade_days,score_min,score_max
r2_0.300,last_1y,0.3,1.0,2025-08-20,2026-09-02,252,0.5186044025213805,0.2969684420840706,1.5559285230052977,-0.13001365903288165,0.7896825396825397,1.0,199,0.7896825396825397,0.30952380952380953,78.0,0.07800000000000001,49,0.5,5.0
r2_0.325,full,0.325,1.0,2011-12-09,2026-09-02,3578,0.26184194411512274,0.20914339894039405,1.216203343539382,-0.21152074302256874,0.6629401900503075,1.0,2372,0.6629401900503075,0.16405813303521521,587.0,0.587,389,0.5,5.0
r2_0.325,last_10y,0.325,1.0,2016-04-21,2026-09-02,2520,0.301081001432407,0.21698242937492979,1.3208426536480162,-0.15985015251014978,0.7686507936507937,1.0,1937,0.7686507936507937,0.19722222222222222,497.0,0.497,317,0.5,5.0
r2_0.325,last_5y,0.325,1.0,2021-06-25,2026-09-02,1260,0.45634129810161483,0.24418210746583535,1.660221518678849,-0.15062739573042028,0.8103174603174603,1.0,1021,0.8103174603174603,0.2111111111111111,266.0,0.266,164,0.5,5.0
r2_0.325,last_3y,0.325,1.0,2023-07-24,2026-09-02,756,0.5558227787659664,0.27010250269609526,1.7697677441668536,-0.1485607469765361,0.8412698412698413,1.0,636,0.8412698412698413,0.23809523809523808,180.0,0.18000000000000002,109,0.5,5.0
r2_0.325,last_1y,0.325,1.0,2025-08-20,2026-09-02,252,0.5249892971661625,0.2959896878149199,1.574305963611772,-0.11887783386850281,0.7857142857142857,1.0,198,0.7857142857142857,0.30952380952380953,78.0,0.07800000000000001,49,0.5,5.0
r2_0.350,full,0.35,1.0,2011-12-09,2026-09-02,3578,0.2612033168012755,0.20787444605750377,1.2199025188613746,-0.217559019840192,0.6562325321408609,1.0,2348,0.6562325321408609,0.16182224706539966,579.0,0.579,388,0.5,5.0
r2_0.350,last_10y,0.35,1.0,2016-04-21,2026-09-02,2520,0.294357740981819,0.21554078945411675,1.30415271332605,-0.16596432068054878,0.7603174603174603,1.0,1916,0.7603174603174603,0.19484126984126984,491.0,0.491,317,0.5,5.0
r2_0.350,last_5y,0.35,1.0,2021-06-25,2026-09-02,1260,0.465485129398842,0.2440046079909377,1.6869308404523347,-0.15062739573042105,0.8015873015873016,1.0,1010,0.8015873015873016,0.20634920634920634,260.0,0.26,163,0.5,5.0
r2_0.350,last_3y,0.35,1.0,2023-07-24,2026-09-02,756,0.545153076516594,0.2690525708024522,1.7499995661077605,-0.15047203416723243,0.832010582010582,1.0,629,0.832010582010582,0.23544973544973544,178.0,0.17800000000000002,110,0.5,5.0
r2_0.350,last_1y,0.35,1.0,2025-08-20,2026-09-02,252,0.5458754668401369,0.29484549042964747,1.6254834113924066,-0.13059918378493096,0.7738095238095238,1.0,195,0.7738095238095238,0.30952380952380953,78.0,0.07800000000000001,49,0.5,5.0
r2_0.375,full,0.375,1.0,2011-12-09,2026-09-02,3578,0.230214068006795,0.19962434091425021,1.1379571201220176,-0.22551368325796395,0.6495248742314143,1.0,2324,0.6495248742314143,0.16182224706539966,579.0,0.579,390,0.5,5.0
r2_0.375,last_10y,0.375,1.0,2016-04-21,2026-09-02,2520,0.2548892601671928,0.20464741311197793,1.2120136059698754,-0.22533115393255165,0.7543650793650793,1.0,1901,0.7543650793650793,0.19404761904761905,489.0,0.489,318,0.5,5.0
r2_0.375,last_5y,0.375,1.0,2021-06-25,2026-09-02,1260,0.391068195169447,0.22466840642516742,1.5816339174274847,-0.22533115393255154,0.7968253968253968,1.0,1004,0.7968253968253968,0.20476190476190476,258.0,0.258,163,0.5,5.0
r2_0.375,last_3y,0.375,1.0,2023-07-24,2026-09-02,756,0.4278670971084477,0.2397095807678313,1.606311865380795,-0.22533115393255132,0.8253968253968254,1.0,624,0.8253968253968254,0.23015873015873015,174.0,0.17400000000000002,109,0.5,5.0
r2_0.375,last_1y,0.375,1.0,2025-08-20,2026-09-02,252,0.41781644276725194,0.285197966488403,1.3670447783697564,-0.18824906740763703,0.753968253968254,1.0,190,0.753968253968254,0.30952380952380953,78.0,0.07800000000000001,50,0.5,5.0
r2_0.400,full,0.4,1.0,2011-12-09,2026-09-02,3578,0.20814880114398182,0.197522958089385,1.0562728749604688,-0.24257904385075202,0.6391839016210173,1.0,2287,0.6391839016210173,0.1634991615427613,585.0,0.585,401,0.5,5.0
