scenario,decay_trigger,recovery_trigger,window,start,end,rows,total_return,annual_return,max_drawdown,vol,sharpe,trades,cash_days,overheat_days,score_decay_days,score_decay_triggers,score_decay_recoveries,avg_scale,avg_final_exposure
decay_0.50_recover_1.00,0.5,1.0,1Y,2025-05-08,2026-05-08,243,-0.006979034965020947,-0.00698379839513541,-0.006979034965020947,0.0026552108758064346,-2.733967130597302,40,56,17,45,7,7,1.0308641975308641,0.6532921810699589
decay_0.60_recover_0.70,0.6,0.7,from_2020,2020-01-02,2026-05-08,1535,1.8995867835868165,0.18263532632713297,-0.2569633709723034,0.22429015153303256,0.9115087593920768,320,370,51,275,58,58,1.16661766547975,0.767563524432036
decay_0.60_recover_0.70,0.6,0.7,6Y,2020-05-08,2026-05-08,1454,1.9238217407843403,0.19584861258836916,-0.2569633709723035,0.21664150035999216,0.9662449045567005,302,354,48,266,55,55,1.1756874535237312,0.772357585322132
decay_0.60_recover_0.70,0.6,0.7,3Y,2023-05-08,2026-05-08,727,0.9216574883787219,0.24318880847475666,-0.1894105084011225,0.20573052503481168,1.2001762919667305,142,196,32,151,27,28,1.070100124391191,0.6587313829653101
decay_0.60_recover_0.70,0.6,0.7,1Y,2025-05-08,2026-05-08,243,-0.006979034965020947,-0.00698379839513541,-0.006979034965020947,0.0026552108758064346,-2.733967130597302,41,62,16,51,8,8,1.0308641975308641,0.6306584362139918
decay_0.60_recover_0.80,0.6,0.8,from_2020,2020-01-02,2026-05-08,1535,1.4748541533979562,0.15348533469992187,-0.25697865041531,0.22438296653230294,0.7954418839701379,319,377,50,282,58,58,1.1690707476734399,0.7640924013718016
decay_0.60_recover_0.80,0.6,0.8,6Y,2020-05-08,2026-05-08,1454,1.4387490039087187,0.16022595449634425,-0.25697865041531,0.21673972805827502,0.8209285405526019,301,360,47,272,55,55,1.1779931665620667,0.769526456435621
decay_0.60_recover_0.80,0.6,0.8,3Y,2023-05-08,2026-05-08,727,0.6840683969354804,0.1896960809491064,-0.18941050840112295,0.2065077962022279,0.9751122906809564,142,198,31,153,27,28,1.0734404014885084,0.6595928877085879
decay_0.60_recover_0.80,0.6,0.8,1Y,2025-05-08,2026-05-08,243,-0.006979034965021058,-0.006983798395135521,-0.006979034965021058,0.0026552108758064346,-2.733967130597302,41,63,16,52,8,8,1.0308641975308641,0.6265432098765432
decay_0.60_recover_0.90,0.6,0.9,from_2020,2020-01-02,2026-05-08,1535,1.2685696921120746,0.1377747276607415,-0.25697865041531076,0.22411341326756085,0.732382172686568,319,381,50,286,58,58,1.1698370241517746,0.7606767071666403
decay_0.60_recover_0.90,0.6,0.9,6Y,2020-05-08,2026-05-08,1454,1.3291414510288235,0.15136567200533801,-0.25697865041531076,0.21650690707705816,0.7847508960739878,301,363,47,275,55,55,1.1782382997705447,0.7665929058548278
decay_0.60_recover_0.90,0.6,0.9,3Y,2023-05-08,2026-05-08,727,0.6718391567867164,0.18680999146463417,-0.1894478311064074,0.20653496667934607,0.9627650888148991,142,199,31,154,27,28,1.0735817894815753,0.6577316117701988
decay_0.60_recover_0.90,0.6,0.9,1Y,2025-05-08,2026-05-08,243,-0.006979034965021058,-0.006983798395135521,-0.006979034965021058,0.0026552108758064346,-2.733967130597302,41,63,16,52,8,8,1.0308641975308641,0.6265432098765432
